[Year],[State],[S&E Fields],[SEH Fields],[Public or Private],[Sex],[Citizenship],[Graduate Students]
2018,Nevada,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),671
2018,Nevada,Science and engineering,Science,Public,Female,Foreign nationals,101
2018,Nevada,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),166
2018,Nevada,Science and engineering,Engineering,Public,Male,Foreign nationals,213
2018,Nevada,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),59
2018,Nevada,Science and engineering,Engineering,Public,Female,Foreign nationals,66
2018,Washington,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,457"
2018,Washington,Science and engineering,Science,Public,Male,Foreign nationals,968
2018,Washington,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,574"
2018,Washington,Science and engineering,Science,Public,Female,Foreign nationals,788
2018,Washington,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),117
2018,Washington,Science and engineering,Science,Private,Male,Foreign nationals,33
2018,Washington,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),246
2018,Washington,Science and engineering,Science,Private,Female,Foreign nationals,43
2018,Washington,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,021"
2018,Washington,Science and engineering,Engineering,Public,Male,Foreign nationals,823
2018,Washington,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),386
2018,Washington,Science and engineering,Engineering,Public,Female,Foreign nationals,310
2018,Washington,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),36
2018,Washington,Science and engineering,Engineering,Private,Male,Foreign nationals,5
2018,Washington,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),10
2018,Washington,Science and engineering,Engineering,Private,Female,Foreign nationals,2
2018,Puerto Rico,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),372
2018,Puerto Rico,Science and engineering,Science,Public,Male,Foreign nationals,99
2018,Puerto Rico,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),466
2018,Puerto Rico,Science and engineering,Science,Public,Female,Foreign nationals,72
2018,Puerto Rico,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),572
2018,Puerto Rico,Science and engineering,Science,Private,Male,Foreign nationals,1
2018,Puerto Rico,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,247"
2018,Puerto Rico,Science and engineering,Science,Private,Female,Foreign nationals,3
2018,Puerto Rico,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),131
2018,Puerto Rico,Science and engineering,Engineering,Public,Male,Foreign nationals,55
2018,Puerto Rico,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),70
2018,Puerto Rico,Science and engineering,Engineering,Public,Female,Foreign nationals,21
2018,Puerto Rico,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),152
2018,Puerto Rico,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),72
2018,Colorado,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,657"
2018,Colorado,Science and engineering,Science,Public,Male,Foreign nationals,754
2018,Colorado,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,897"
2018,Colorado,Science and engineering,Science,Public,Female,Foreign nationals,482
2018,Colorado,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,021"
2018,Colorado,Science and engineering,Science,Private,Male,Foreign nationals,112
2018,Colorado,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,250"
2018,Colorado,Science and engineering,Science,Private,Female,Foreign nationals,88
2018,Colorado,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,695"
2018,Colorado,Science and engineering,Engineering,Public,Male,Foreign nationals,"1,032"
2018,Colorado,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),653
2018,Colorado,Science and engineering,Engineering,Public,Female,Foreign nationals,298
2018,Colorado,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),49
2018,Colorado,Science and engineering,Engineering,Private,Male,Foreign nationals,31
2018,Colorado,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),15
2018,Colorado,Science and engineering,Engineering,Private,Female,Foreign nationals,3
2018,Indiana,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,135"
2018,Indiana,Science and engineering,Science,Public,Male,Foreign nationals,"1,722"
2018,Indiana,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,988"
2018,Indiana,Science and engineering,Science,Public,Female,Foreign nationals,"1,083"
2018,Indiana,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),416
2018,Indiana,Science and engineering,Science,Private,Male,Foreign nationals,223
2018,Indiana,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),531
2018,Indiana,Science and engineering,Science,Private,Female,Foreign nationals,162
2018,Indiana,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,335"
2018,Indiana,Science and engineering,Engineering,Public,Male,Foreign nationals,"1,860"
2018,Indiana,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),403
2018,Indiana,Science and engineering,Engineering,Public,Female,Foreign nationals,574
2018,Indiana,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),239
2018,Indiana,Science and engineering,Engineering,Private,Male,Foreign nationals,237
2018,Indiana,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),70
2018,Indiana,Science and engineering,Engineering,Private,Female,Foreign nationals,92
2018,West Virginia,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),500
2018,West Virginia,Science and engineering,Science,Public,Male,Foreign nationals,217
2018,West Virginia,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),557
2018,West Virginia,Science and engineering,Science,Public,Female,Foreign nationals,146
2018,West Virginia,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),2
2018,West Virginia,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),1
2018,West Virginia,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),198
2018,West Virginia,Science and engineering,Engineering,Public,Male,Foreign nationals,207
2018,West Virginia,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),45
2018,West Virginia,Science and engineering,Engineering,Public,Female,Foreign nationals,59
2018,Kentucky,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,038"
2018,Kentucky,Science and engineering,Science,Public,Male,Foreign nationals,341
2018,Kentucky,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,237"
2018,Kentucky,Science and engineering,Science,Public,Female,Foreign nationals,277
2018,Kentucky,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),425
2018,Kentucky,Science and engineering,Engineering,Public,Male,Foreign nationals,239
2018,Kentucky,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),106
2018,Kentucky,Science and engineering,Engineering,Public,Female,Foreign nationals,80
2018,Georgia,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"7,376"
2018,Georgia,Science and engineering,Science,Public,Male,Foreign nationals,"2,611"
2018,Georgia,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,292"
2018,Georgia,Science and engineering,Science,Public,Female,Foreign nationals,"1,485"
2018,Georgia,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),410
2018,Georgia,Science and engineering,Science,Private,Male,Foreign nationals,224
2018,Georgia,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),685
2018,Georgia,Science and engineering,Science,Private,Female,Foreign nationals,148
2018,Georgia,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"2,419"
2018,Georgia,Science and engineering,Engineering,Public,Male,Foreign nationals,"1,574"
2018,Georgia,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),726
2018,Georgia,Science and engineering,Engineering,Public,Female,Foreign nationals,601
2018,Georgia,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),145
2018,Georgia,Science and engineering,Engineering,Private,Male,Foreign nationals,28
2018,Georgia,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),77
2018,Georgia,Science and engineering,Engineering,Private,Female,Foreign nationals,23
2018,Connecticut,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),747
2018,Connecticut,Science and engineering,Science,Public,Male,Foreign nationals,501
2018,Connecticut,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),914
2018,Connecticut,Science and engineering,Science,Public,Female,Foreign nationals,500
2018,Connecticut,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),963
2018,Connecticut,Science and engineering,Science,Private,Male,Foreign nationals,746
2018,Connecticut,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,281"
2018,Connecticut,Science and engineering,Science,Private,Female,Foreign nationals,563
2018,Connecticut,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),356
2018,Connecticut,Science and engineering,Engineering,Public,Male,Foreign nationals,254
2018,Connecticut,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),114
2018,Connecticut,Science and engineering,Engineering,Public,Female,Foreign nationals,114
2018,Connecticut,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),238
2018,Connecticut,Science and engineering,Engineering,Private,Male,Foreign nationals,453
2018,Connecticut,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),94
2018,Connecticut,Science and engineering,Engineering,Private,Female,Foreign nationals,152
2018,Florida,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"4,506"
2018,Florida,Science and engineering,Science,Public,Male,Foreign nationals,"2,143"
2018,Florida,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"5,064"
2018,Florida,Science and engineering,Science,Public,Female,Foreign nationals,"1,505"
2018,Florida,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,037"
2018,Florida,Science and engineering,Science,Private,Male,Foreign nationals,324
2018,Florida,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,735"
2018,Florida,Science and engineering,Science,Private,Female,Foreign nationals,317
2018,Florida,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,839"
2018,Florida,Science and engineering,Engineering,Public,Male,Foreign nationals,"2,155"
2018,Florida,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),648
2018,Florida,Science and engineering,Engineering,Public,Female,Foreign nationals,623
2018,Florida,Science and engineering,Engineering,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),402
2018,Florida,Science and engineering,Engineering,Private,Male,Foreign nationals,427
2018,Florida,Science and engineering,Engineering,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),124
2018,Florida,Science and engineering,Engineering,Private,Female,Foreign nationals,118
2018,Virginia,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,825"
2018,Virginia,Science and engineering,Science,Public,Male,Foreign nationals,"1,395"
2018,Virginia,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"3,469"
2018,Virginia,Science and engineering,Science,Public,Female,Foreign nationals,"1,103"
